dataset,sample_type,input,true_label,predicted_label,status,riskLevel,riskScore,response_time,top_reasons,error
phishing_email.csv,messages,77 new software manes pion every point better school felt never came clear notice farm ago mountain mountain idea show pose doctor divide long word thought pass rest sing since temperature blow reach company low blow brother pose miss good listen age suit also differ gold drive four example dog blow,1,1,Suspicious,Medium,49,0.419780969619751,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.35% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,nan tor 0 nto rx top 10 medications generic form ph 3 ntermlne vlagra clalls super vlagra vallum xannax amblen paxll vloxx nexlum llpltor copy paste following url browser b est viewed interner explorer u n u b c r b e located bze international imports inc north front st 1831 belize city belize,1,1,Suspicious,Medium,49,0.14243102073669434,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.86% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,cc get meds overnmght balustrade ache broth lew saguaro wander porcine tsarina erudite experimentation descend rehearse cytosine bandgap statesmen clank stood tact villainous illusion equipped isinglass powderpuff crewcut manfred professor wife lemon trot churchgo autotransformer cowlick idiot vade mauritius finale sforzando courtney pumice requisite dionysus muskellunge abdominal dung peer backlog businessmen americium croupier depletion prance cursive chicory cranford graves hymn conundrum chaplain ascendant bean quackery insult larynges door,1,1,Suspicious,Medium,49,0.1620790958404541,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.80% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,superb ftware youll discover awesome software available shocking prices lucky chance get discounts dont deprived happiest chance get software prolific prices ever http allprogs info index php 2975 mirrior 1 http compparadise info index php 2975 mirrior 2 http compytonia com index php 2975 mirrior 3 http compyland info index php 2975 mirrior 4 http compomania info index php 2975 mirrior 5 http compylandia com index php 2975 mirrior 6 http computingland com index php 2975 mirrior 7 http comptonia com index php 2975 examples 70 microsoft windows 2000 server 80 microsoft windows xp professional 180 microsoft windows server 2003 enterprise 120 microsoft office 2003 professional 40 norton antivirus 2004 professional 80 corel draw graphics suite 11 90 adobe pagemaker 7 0 100 adobe photoshop cs 100 adobe illustrator cs categories security business antivirus internet etc,1,1,Suspicious,Medium,49,0.1521615982055664,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.70% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,hpl nom june 13 2000 see attached file hplo 613 xls hplo 613 xls,0,0,Legitimate,Low,0,0.14117860794067383,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 0.28% | Low phishing probability according to BERT model",
phishing_email.csv,messages,david triplett 75 new softwares windowxp professional _ 50 window office professional 2003 _ 60 photoshop 7 0 _ 60 good products buy retailprices district almost every,1,1,Suspicious,Medium,49,0.14061331748962402,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.07% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,acrobat pro 7 0 69 95 xp pro opt email special offer unsubscribe search software top 10 new titles sale 1 office pro 20032 windows xp pro 3 adobe creative suite premium 4 norton antivirus 20055 flash mx 20046 corel draw 127 adobe acrobat 7 08 windows 2003 server 9 alias maya 6 wavefrtl 0 adobe premiere see manufacturer microsoft apple software customers also bought items microsoft office professional edition 2003 microsoft choose see options list price 899 00 price 69 99 save 830 01 92 availability available instant download coupon code ise 229 media cd rom download system requirements accessories versionsfeatures analyze manage business information using access databases exchange data systems using enhanced xml technology control information sharing rules enhanced irm technology easy use wizards create e mail newsletters printed marketing materials 20 preformatted business reports sales rank 1 shipping international us via instant download date coupon expires june 30 th 2005 average customer review based 1 768 reviews write review microsoft windows xp professional longhorn edition microsoft choose see options list price 279 00 price 49 99 save 229 01 85 availability available instant download coupon code ise 229 media cd rom download system requirements accessories versionsfeatures designed businesses sizes manage digital pictures music video dvds security ability encrypt files folders built voice video instant messaging support integration windows servers management solutions sales rank 2 shipping international us via instant download date coupon expires june 30 th 2005 average customer review based 868 reviews write review adobe photoshop cs 2 v 9 0 adobe choose see options list price 599 00 price 69 99 save 529 01 90 availability available instant download coupon code ise 229 media cd rom download system requirements accessories versionsfeatures customized workspace save personalized workspace tool settings create customized shortcuts unparalleled efficiency automate production tasks built customized scripts improved file management new design possibilities intuitive way create web support 16 bit images digital camera raw data non square pixels create modify photos using painting drawing retouching tools sales rank 3 shipping international us via instant download date coupon expires june 30 th 2005 average customer review based 498 reviews write review,1,1,Suspicious,Medium,49,0.1530742645263672,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.65% | High-risk phishing pattern detected by BERT model | Message contains suspicious social-engineering wording: expires, expire | Message creates urgency or pressure to act quickly",
phishing_email.csv,messages,keep memories alive free canon digital camera ,1,1,Suspicious,Medium,49,0.12462639808654785,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.34% | High-risk phishing pattern detected by BERT model",
phishing_email.csv,messages,excellent rx 1046043196122050333 hi varou taking impotence drug alcohol food discovered workout fairly empty stomach response quick intense taken meals really causes lag bob age 45 gone forever headaches hassles high costs obtaining pharmacy products want need require prescriptions visit us today best regards sadie rodrigez,1,1,Suspicious,Medium,49,0.14985132217407227,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 99.78% | High-risk phishing pattern detected by BERT model | Message contains suspicious social-engineering wording: today | Message creates urgency or pressure to act quickly",
phishing_email.csv,messages,enron hpl actuals october 30 2000 october 30 2000 teco tap 50 000 enron 50 000 hpl gas daily,0,0,Legitimate,Low,0,0.12924695014953613,"No URL found in the message, so URL checks were not applied | BERT phishing probability: 0.02% | Low phishing probability according to BERT model",
